Month,Open,High,Low,Close
October-2008,4942.68,5006.82,2899.28,3570.07,
November-2008,3691.04,3988.60,3097.91,3295.60,
December-2008,3313.97,3755.50,3103.47,3596.85,
January-2009,3618.00,3885.52,3190.15,3426.76,
February-2009,3404.67,3529.88,3155.42,3232.11,
March-2009,3187.12,3616.51,2961.26,3523.53,
April-2009,3535.18,4219.20,3482.58,4140.42,
May-2009,4232.99,5562.60,4232.99,5520.25,
June-2009,5602.13,5886.88,5281.42,5492.03,
July-2009,5505.98,5987.42,4983.95,5940.38,
August-2009,5963.67,6107.39,5600.61,6044.61,
September-2009,6068.65,6556.46,5932.85,6552.75,
October-2009,6568.90,6779.19,6126.03,6142.43,
November-2009,6104.84,6714.11,5927.59,6584.98,
December-2009,6620.84,6872.18,6529.80,6842.25,
January-2010,6839.38,7070.37,6338.25,6509.90,
February-2010,6477.83,6639.59,6280.99,6518.38,
March-2010,6576.07,6987.88,6576.07,6919.55,
April-2010,6952.74,7140.21,6863.81,7042.68,
May-2010,7009.94,7028.13,6396.74,6782.37,
June-2010,6769.03,7119.58,6634.30,7092.20,
July-2010,7061.59,7321.41,7009.83,7205.22,
August-2010,7249.77,7514.63,7227.39,7289.74,
September-2010,7322.52,8064.87,7322.52,7984.45,
October-2010,8018.42,8344.12,7950.12,8036.88,
November-2010,8095.04,8434.05,7411.68,7722.05,
December-2010,7726.39,7975.22,7421.12,7961.06,
January-2011,7989.28,8038.74,6999.44,7128.29,
February-2011,7152.97,7222.02,6647.92,6850.40,
March-2011,6888.55,7471.35,6888.55,7437.26,
April-2011,7440.05,7651.27,7381.56,7427.14,
May-2011,7449.52,7463.28,6932.82,7233.85,
June-2011,7240.14,7291.32,6789.01,7265.32,
July-2011,7296.61,7417.00,7103.90,7111.31,
August-2011,7148.11,7197.91,6165.06,6487.22,
September-2011,6559.20,6711.06,6208.73,6385.76,
October-2011,6338.96,6796.79,6135.65,6763.26,
November-2011,6723.25,6787.42,5899.25,6117.00,
December-2011,6226.60,6416.65,5683.02,5778.68,
January-2012,5797.33,6562.69,5734.21,6549.31,
February-2012,6545.14,7166.28,6522.13,6857.28,
March-2012,6844.63,7001.32,6556.03,6759.63,
April-2012,6769.94,6887.06,6585.99,6698.51,
May-2012,6732.03,6741.87,6129.37,6280.04,
June-2012,6268.76,6686.19,6088.62,6682.47,
July-2012,6695.99,6797.05,6407.78,6605.70,
August-2012,6602.82,6848.80,6560.62,6632.34,
September-2012,6640.17,7243.40,6582.88,7206.51,
October-2012,7221.74,7364.54,7070.76,7118.77,
November-2012,7120.24,7478.35,7057.34,7472.45,
December-2012,7480.17,7627.07,7460.59,7581.57,
January-2013,7613.36,7792.70,7600.10,7665.74,
February-2013,7673.22,7697.72,7138.74,7163.69,
March-2013,7175.22,7478.62,6976.75,7084.96,
April-2013,7105.97,7413.56,6872.16,7385.25,
May-2013,7374.61,7748.63,7374.61,7441.89,
June-2013,7463.18,7465.12,6868.43,7164.06,
July-2013,7166.52,7444.46,6888.21,6985.56,
August-2013,7027.92,7060.53,6301.27,6673.96,
September-2013,6700.73,7413.62,6539.15,7019.96,
October-2013,7040.23,7667.42,6978.73,7656.62,
November-2013,7663.98,7737.66,7348.20,7598.21,
December-2013,7609.06,7862.72,7558.21,7828.34,
January-2014,7850.35,7902.67,7401.20,7499.02,
February-2014,7481.75,7714.56,7320.93,7709.75,
March-2014,7704.83,8315.58,7648.69,8295.26,
April-2014,8318.52,8536.72,8259.00,8342.15,
May-2014,8369.45,9578.21,8296.19,9206.01,
June-2014,9254.33,9891.69,9233.01,9791.34,
July-2014,9816.18,10055.76,9460.05,9831.51,
August-2014,9777.94,10145.51,9606.24,10096.08,
September-2014,10127.42,10478.05,9972.19,10173.26,
October-2014,10189.01,10602.46,9840.84,10594.89,
November-2014,10628.58,10997.43,10583.35,10956.16,
December-2014,10978.89,11089.32,10154.40,10721.62,
January-2015,10720.05,11544.40,10457.44,11346.24,
February-2015,11348.93,11506.04,10899.34,11454.35,
March-2015,11511.99,11764.80,10733.92,11048.75,
April-2015,11048.98,11567.60,10613.36,10696.83,
May-2015,10763.48,11072.84,10411.97,11023.76,
